date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:04	344/344	---MCZ	200	added ('OK')	text/plain	date:Sun,%2012%20Oct%202025%2017:50:03%20GMT	https://emqore0.wordpress.com/robots.txt		(from )
18:50:06	91946/91946	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Oct%202025%2017:50:04%20GMT	https://emqore0.wordpress.com/	/Users/jehmukkar/Desktop/emqore0-static-new/emqore0.wordpress.com/index.html	(from )
18:50:07	7718/7718	---MCZ	200	added ('OK')	text/css	etag:W/9480-1757676064385.3506	https://emqore0.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1757676056i&cssminify=yes	/Users/jehmukkar/Desktop/emqore0-static-new/emqore0.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar8f2b.css	(from https://emqore0.wordpress.com/)
18:50:07	317/317	---M--	200	added ('OK')	text/css	etag:W/471-1684460928880.9634	https://emqore0.wordpress.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	/Users/jehmukkar/Desktop/emqore0-static-new/emqore0.wordpress.com/wp-content/themes/h4/globalf753.css	(from https://emqore0.wordpress.com/)
18:50:08	9120/9120	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Oct%202025%2017:50:08%20GMT	https://emqore0.wordpress.com/feed/	/Users/jehmukkar/Desktop/emqore0-static-new/emqore0.wordpress.com/feed/index.html	(from https://emqore0.wordpress.com/)
18:50:08	432/432	---M--	200	added ('OK')	text/css	etag:%226466d586-1b0%22	https://emqore0.wordpress.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	/Users/jehmukkar/Desktop/emqore0-static-new/emqore0.wordpress.com/_static/indexd02a.html	(from https://emqore0.wordpress.com/)
18:50:08	2758/2758	---MCZ	200	added ('OK')	text/css	etag:W/%226466e652-ac6%22	https://emqore0.wordpress.com/_static/??-eJzTLy/QTc7PK0nNK9HPLdUtyClNz8wr1i9KTcrJTwcy0/WTi5G5ekCujj52Temp+bo5+cmJJZn5eSgc3bScxMwikFb7XFtDE1NLExMLc0OTLACohS2q&cssminify=yes	/Users/jehmukkar/Desktop/emqore0-static-new/emqore0.wordpress.com/_static/index0ace.html	(from https://emqore0.wordpress.com/)
18:50:08	859/859	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%221a696f6dbf59407a6868550a56b2b609%22	https://emqore0.wordpress.com/comments/feed/	/Users/jehmukkar/Desktop/emqore0-static-new/emqore0.wordpress.com/comments/feed/index.html	(from https://emqore0.wordpress.com/)
18:50:10	2481/2481	---MCZ	200	added ('OK')	application/javascript	etag:W/5444-1720530696823.1948	https://emqore0.wordpress.com/wp-content/js/rlt-proxy.js?m=1720530689i	/Users/jehmukkar/Desktop/emqore0-static-new/emqore0.wordpress.com/wp-content/js/rlt-proxye978.js	(from https://emqore0.wordpress.com/)
18:50:11	860/860	---MCZ	200	added ('OK')	text/xml	date:Sun,%2012%20Oct%202025%2017:50:10%20GMT	https://emqore0.wordpress.com/xmlrpc.php?rsd	/Users/jehmukkar/Desktop/emqore0-static-new/emqore0.wordpress.com/xmlrpc0db0.php	(from https://emqore0.wordpress.com/)
